1,BPF-800AB,,4
2,BPF-800A,,4
4,BPF-802A,,26
5,BPF-814A,,26
6,BPF-813A,,26
7,BPF-818A,,62
8,BPF-817A,,13
9,BPF-817AB,,13
17,BPF-807A,,26
19,BPF-815A,,26
20,BPF-819A,,26
21,BPF-820A,,26
23,BPF-821A,,52
24,BPF-822A,,26
25,BPF-824A,,26
26,BPF-823A,,26
40,BPF-830A,,26
41,BPF-832A,,13
44,BPF-801A,,12
45,BPF-804A,,16
46,BPF-803A,,16
47,BPF-809A,,16
48,BPF-827A,,16
49,BPF-810A,,4
50,BPF-811A,,2
51,BPF-806A,,9
52,BPF-806AB,,9
53,BPF-812A,,36
57,BPF-808A,,8
68,BPF-828A,,6
72,BPF-829A,,6
73,BPF-831A,,1
